Team_1,Team_2,Winner,Margin,Ground,Match Date
Bangladesh,Sri Lanka,Sri Lanka,7 wickets,Dhaka,"Jan 4, 2010"
India,Sri Lanka,Sri Lanka,5 wickets,Dhaka,"Jan 5, 2010"
Bangladesh,India,India,6 wickets,Dhaka,"Jan 7, 2010"
Bangladesh,Sri Lanka,Sri Lanka,9 wickets,Dhaka,"Jan 8, 2010"
India,Sri Lanka,India,8 wickets,Dhaka,"Jan 10, 2010"
Bangladesh,India,India,6 wickets,Dhaka,"Jan 11, 2010"
India,Sri Lanka,Sri Lanka,4 wickets,Dhaka,"Jan 13, 2010"
Australia,Pakistan,Australia,5 wickets,Brisbane,"Jan 22, 2010"
Australia,Pakistan,Australia,140 runs,Sydney,"Jan 24, 2010"
Australia,Pakistan,Australia,40 runs,Adelaide,"Jan 26, 2010"
Australia,Pakistan,Australia,135 runs,Perth,"Jan 29, 2010"
Australia,Pakistan,Australia,2 wickets,Perth,"Jan 31, 2010"
New Zealand,Bangladesh,New Zealand,146 runs,Napier,"Feb 5, 2010"
Australia,West Indies,Australia,113 runs,Melbourne,"Feb 7, 2010"
New Zealand,Bangladesh,New Zealand,5 wickets,Dunedin,"Feb 8, 2010"
Australia,West Indies,Australia,8 wickets,Adelaide,"Feb 9, 2010"
New Zealand,Bangladesh,New Zealand,3 wickets,Christchurch,"Feb 11, 2010"
Australia,West Indies,no result,,Sydney,"Feb 12, 2010"
Australia,West Indies,Australia,50 runs,Brisbane,"Feb 14, 2010"
Kenya,Netherlands,Kenya,6 wickets,Nairobi (Gym),"Feb 16, 2010"
Afghanistan,Canada,Afghanistan,1 run,Sharjah,"Feb 16, 2010"
Kenya,Netherlands,Netherlands,80 runs,Nairobi (Gym),"Feb 18, 2010"
Afghanistan,Canada,Canada,4 wickets,Sharjah,"Feb 18, 2010"
Australia,West Indies,Australia,125 runs,Melbourne,"Feb 19, 2010"
India,South Africa,India,1 run,Jaipur,"Feb 21, 2010"
India,South Africa,India,153 runs,Gwalior,"Feb 24, 2010"
India,South Africa,South Africa,90 runs,Ahmedabad,"Feb 27, 2010"
Bangladesh,England,England,6 wickets,Dhaka,"Feb 28, 2010"
Bangladesh,England,England,2 wickets,Dhaka,"Mar 2, 2010"
New Zealand,Australia,New Zealand,2 wickets,Napier,"Mar 3, 2010"
West Indies,Zimbabwe,Zimbabwe,2 runs,Providence,"Mar 4, 2010"
Bangladesh,England,England,45 runs,Chittagong,"Mar 5, 2010"
New Zealand,Australia,Australia,12 runs,Auckland,"Mar 6, 2010"
West Indies,Zimbabwe,West Indies,4 wickets,Providence,"Mar 6, 2010"
New Zealand,Australia,Australia,6 wickets,Hamilton,"Mar 9, 2010"
West Indies,Zimbabwe,West Indies,141 runs,Kingstown,"Mar 10, 2010"
New Zealand,Australia,Australia,6 wickets,Auckland,"Mar 11, 2010"
West Indies,Zimbabwe,West Indies,4 wickets,Kingstown,"Mar 12, 2010"
New Zealand,Australia,New Zealand,51 runs,Wellington,"Mar 13, 2010"
West Indies,Zimbabwe,West Indies,4 wickets,Kingstown,"Mar 14, 2010"
West Indies,Canada,West Indies,208 runs,Kingston,"Apr 13, 2010"
West Indies,Ireland,West Indies,6 wickets,Kingston,"Apr 15, 2010"
West Indies,South Africa,South Africa,66 runs,North Sound,"May 22, 2010"
West Indies,South Africa,South Africa,17 runs,North Sound,"May 24, 2010"
Zimbabwe,India,Zimbabwe,6 wickets,Bulawayo,"May 28, 2010"
West Indies,South Africa,South Africa,67 runs,Roseau,"May 28, 2010"
India,Sri Lanka,India,7 wickets,Bulawayo,"May 30, 2010"
West Indies,South Africa,South Africa,7 wickets,Roseau,"May 30, 2010"
Zimbabwe,Sri Lanka,Sri Lanka,9 wickets,Bulawayo,"Jun 1, 2010"
Zimbabwe,India,Zimbabwe,7 wickets,Harare,"Jun 3, 2010"
West Indies,South Africa,South Africa,1 wicket,Port of Spain,"Jun 3, 2010"
India,Sri Lanka,Sri Lanka,6 wickets,Harare,"Jun 5, 2010"
Zimbabwe,Sri Lanka,Zimbabwe,8 wickets,Harare,"Jun 7, 2010"
Zimbabwe,Sri Lanka,Sri Lanka,9 wickets,Harare,"Jun 9, 2010"
Sri Lanka,Pakistan,Sri Lanka,16 runs,Dambulla,"Jun 15, 2010"
Netherlands,Scotland,Netherlands,6 wickets,Rotterdam,"Jun 15, 2010"
Bangladesh,India,India,6 wickets,Dambulla,"Jun 16, 2010"
Ireland,Australia,Australia,39 runs,Dublin,"Jun 17, 2010"
Sri Lanka,Bangladesh,Sri Lanka,126 runs,Dambulla,"Jun 18, 2010"
India,Pakistan,India,3 wickets,Dambulla,"Jun 19, 2010"
Scotland,England,England,7 wickets,Edinburgh,"Jun 19, 2010"
Bangladesh,Pakistan,Pakistan,139 runs,Dambulla,"Jun 21, 2010"
Sri Lanka,India,Sri Lanka,7 wickets,Dambulla,"Jun 22, 2010"
England,Australia,England,4 wickets,Southampton,"Jun 22, 2010"
Sri Lanka,India,India,81 runs,Dambulla,"Jun 24, 2010"
England,Australia,England,4 wickets,Cardiff,"Jun 24, 2010"
England,Australia,England,1 wicket,Manchester,"Jun 27, 2010"
